User id , Question 1 , Question 2 , Question 3 , Question 4 , Question 5 , Question 6 , Question 7 , Question 8 , Question 9 , Question 10 , Question 11 , Question 12 , Question 13 , Question 14 , Question 15 , Question 16 , Question 17 , Question 18 , Question 19 , Question 20 , Question 21 , Question 22 , Question 23 , Question 24 , Question 25,,,,,,,,
75,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,  ,  , More clear instructions. ,  ,  , ,,,,,,,
74,3,3,3,  ,3,3,3,3,  ,3,3,4,3,4,4,3,3,3,3,3, It was relatively straightforward.  ,  , Add more diversity into the problems, it got a bit repetitive.  ,  , One of the adding problems talked about having 3 boxes at the end but there needed to be five and another adding one didn't accept my answer as correct the first time even though it was the same the second time. , ,,,,,,
73,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,5,4,5,4,3, SImple to navigate, easy to use, and engaging. Feels like a puzzle game rather than work.  , - , - , - , Questions would, on occasion, return that they had been answered incorrectly when they were infact correctly answered (mostly the re-ordering lists questions) , ,,,
71,3,2,4,2,4,3,3,4,2,3,5,4,4,5,5,5,2,4,4,3, the fact that it is interactive helps people who don't understand the main idea comprehend it better. , the best part was that we can use the program for help from other users who are willing to help. , I think adding an undo button will do. , when the user goes to a question, the partner should instantly be with working with him. , I enjoyed working on it. It sort of reminds me of some games I play. , ,,,,,,
70,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,3, It is a creative idea and can be very useful if refined ,  , The system tends to freeze or slows down sometimes. ,  , The system was helpful. , ,,,,,,,
69,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4, Easy enough to get bonus mark. , You can work with someone which improves teamwork skills. , If the system responds quickly I will like it more. , The partner window pop-up every time the partner joined or starts a question, it makes me hard to see the left bottom part of my screen. , When I do the removing part, the nodes can somehow move automatically and then the system died, which makes me have to start over.  , ,,,,
68,4,4,4,4,4,4,4,4,3,3,3,3,3,3,2,3,4,5,5,5, Introduction. ,  , Make the introduction much clearer. ,  , So far,so good. , ,,,,,,
67,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,3,4,4,4,4, Makes it easier to visualize , Being able to work out the problems with someone else who can see what is going on. , The chat between partners is clunky as it always drops down to bottom but doesnt keep refereshing correctly (hard to explain in words). When adding a temporary variable the system gets really messed. If need I can provide in more detail the issues I saw in the system. , The moving of nodes is messy and temporary variables are out of control. , Quite a few issues involved but too difficult to explain all of them in this questionnaire. , ,,,,,,,
65,3,3,3,3,3,3,3,3,4,3,4,3,3,4,2,1,2,3,3,2, It was easy.  , I didn't use them but I liked that little available partners thing. , The first reordering question was broken and would not let me move pointers. In a fit of frustration I just clicked submit and even though it was wrong it marked it as right? So there's that.  ,  , It was easy but it was a little TOO easy almost mindlessly so.  , ,,,,,,,
64,2,2,2,2,2,2,2,2,  ,2,2,2,2,2,2,2,2,2,2,3, It worked ,  , Did not really teach me anything about linked list. Just seemed like moving blocks around. In my opinion you cant make it any better. ,  , It was made well I just didn't find it useful. , ,,,,,,,
63,4,4,4,3,4,4,3,4,4,4,4,4,4,5,5,4,3,3,3,3, Simple usage , n/a , It told me they werent in alphabetical order but they totally were. , n/a ,  , ,,,,,,,
61,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,3,4,3,4,4, Easy to visualize how the concept works , Being able to discuss the questions and learn from them , Provide the undo button , The pop up window for messages is smaller so that it will not cover the commands. , It is not too complicated and quite easy to use. The connection between two partners working on a question is quite slow.  , ,,,,,,,
58,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4, change the order of the elements , N/A , not smart enough , N/A , N/A , ,,,,,,,
57,5,4,5,2,5,5,2,4,4,4,4,4,4,5,5,3,4,4,4,3,  ,  ,  ,  ,  , ,,,,,,,
56,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,3,  ,  , The arrows are hard to use, the diagrams just keep getting messed up for no reason ,  ,  , ,,,,,,
55,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1, when it didn't bug out ,  , fix bugs had to submit one thing 15 times ,  ,  , ,,,,,,,
52,4,3,4,4,4,3,3,3,3,5,5,4,4,4,4,4,4,4,4,4, Kept allowing you to try no matter how many times you submitted an answer , Didn't use them? , It would be interesting if you could add in code, because thats what we get tested on for exams. It was nice seeing how it all worked with diagrams like you did; however, I didn't actually practice any code so I don't know if I am doing that properly , Didn't use them , Good work!  , ,,,,,
49,5,4,5,5,5,5,5,4,  ,5,4,  ,4,3,3,4,3,4,3,3, Colors , N/A , Instructions could be made in point form, video tutorial might work. Recommend users to clear cache or disable plugins/add-on on browser as troubleshooting. , N/A , Great experience, a little too easy. Sometimes the answer is right but wrong message appeared. , ,,,,,
45,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3, Hands on experience with a visual form of linked lists , N/A , There were some glitches , N/A ,  , ,,,,,,,
43,4,3,4,3,4,3,3,3,4,4,4,4,3,2,3,3,3,3,3,2, User interface is really well put together. , I tried to, but it didn't work. , Just some minor little issues, and the partner system didn't work for me. , N/A , Well done Matt! , ,,,,,
37,1,3,3,3,4,3,4,3,3,4,4,4,4,3,4,2,4,4,3,4, Earn the bonus mark , two are better than one , the system is not stable and diagram will automatically move without my command even i dont have a partner. , when two people are working together , the diagram should not be moved together. , maybe more detailed explanations , ,,,,,,
36,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,4,2,3, A good visual representation of linked lists. , N/A didn't use. , Sometimes the system would say I got a question wrong when I did it correctly. , N/A , Thanks. , ,,,,,,,
35,4,3,4,4,4,3,4,3,5,5,5,5,5,3,1,1,4,3,2,2, visually showing how nodes work ,  , less glitchy crap, both for the interactive diagrams and for the chat window ,  , glitchy, but useful , ,,,,,
34,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,4, The end , Getting help when stuck , The nodes move around by themselves, even when both my partner and I are not touching the keyboard , Long delay between what my partner sees on the screen , I like data structures , ,,,,,,
33,4,3,4,4,3,3,2,2,4,3,4,4,3,3,1,1,1,1,1,1, it was simple to understand what to do , i tried but it was impossible it would not work  , it was very glitchy and i did the last 4 right a ton of times but no matter what it wouldnt accept it , make it work properly , it hardly worked , ,,,,,,,
32,3,3,3,3,3,3,3,3,2,2,2,2,2,2,1,2,2,3,2,1, It was easy , I tried using but it wouldn't work , remove the bugs, would enter in questions right but get them wrong and sometimes buttons didnt work , make it work ,  , ,,,,,,
30,5,5,4,4,4,3,4,3,4,4,4,3,3,4,4,4,3,3,4,4, The fact that it was so easy , I didn't use the collab part. , Make it less glitchy and fix the bug errors. , Didn't use collab part. , I disliked the portions where the project would glitch out on you and say you have done it wrong when you inserted the correct answers, forcing you to exit the question and re-enter it. , ,,,,,,
27,5,4,5,5,5,4,4,3,5,4,4,4,5,4,3,4,4,4,4,4, the visual representation , I did not use any of the collaborative parts , At least 5 times I solved the problem correctly and the system rejected my solution. After trying the same solution for the third time, it finally accepted my solution , Did not use it. , You have two 25's in this questionnaire.  , ,,,,,,
26,5,4,5,5,5,4,4,4,5,4,4,4,4,3,3,3,3,4,3,3, It gives a good visual representation of what i am doing when coding linked lists , Didn't have to figure it all out by myself , Doing it with a partner was extremely buggy and for the last few question I had to turn it off to make it possible to complete.  It worked well enough without the parter aspect.  Sometimes the tiles didnt have numbers when it said it should this was usually fixed by restarting that excersize. , The chat box was very buggy and often glitched out the question while using it.  I'm not sure if it was suposed to be where you both did the question editiing the same boxes but if it was there was a very high latency and was very buggy. , It was decent aside from the partner aspect of it and a few minor bugs that could be fixed by restarting that question.  Also i would sometimes get right answers even if i knew they were wrong on a small number of questions. , ,,,,,,,
25,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3, Movable nodes , the join questions part with the little chat box , improve collaborative part as sometimes it is very buggy , improve collaborative part as sometimes it is very buggy , Good job on the system, with more tweaking it could be better though , ,,,,,,
24,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3, its simplicity and effectivness  , did not use , make it easier to move the pointers  , did not use ,  , ,,,,,,,
23,4,3,4,3,3,3,4,4,5,5,5,4,4,4,5,5,5,4,4,4, easy to move things around ,  , some coding in there too maybe? ,  , it was fun! , ,,,,,,,
21,5,4,5,4,4,4,4,4,4,4,3,3,3,5,2,4,4,4,4,1, It's intuitive and very well structured. , It did not work well, for me, the server would glitch just as i was about to answers a question and move everything around. , The chat box should be in the left hand corner so as not to interfere with selection.  , The co-op is glitch y, requires improved multiplayer.  Chat box auto opens. This is the area where the flaws are most evident, in individual it works perfect, great work.   , This is good work, could use some improvement for functionality and user friendliness . I would like to use this site to preform logic then also practice coding tid-bits. Lastly, on occasion the right answer would not register or the \block\ commands did not have add/remove pointer. , 
20,5,4,5,5,5,4,4,4,5,5,5,5,5,5,5,4,4,4,3,3, It was presented in a very clear way, I could think of any way to improve the visual presentation of the concepts. , N/A , Sometimes I had difficulty finding the buttons I needed. It might be useful to rearrange the options list so that buttons don't automatically reorganize themselves into new positions. , N/A , I encountered a question asking me to organize a list of letters in numerical order, which was very confusing. Other than that it was a very useful learning tool. , ,,,,,
17,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5, Repetition. Ensures you know how to do each aspect of LinekdLists ,  , It was a little buggy (adding arrows/removing), but I didn't expect for it to be absolutely flawless. ,  ,  , ,,,,,,
16,2,2,4,4,4,2,2,2,5,2,2,3,2,3,4,4,3,3,3,3, It teaches the theoroy ,  , Add some actual code implementation pieces, also int - 4 ---> int = 4 ,  , A lot of questions would reject correct answers, going through I think that it is displaying variables but storing different ones as it's value , ,,,,,
14,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,2,3,2, The simplicity and creativeness  , not sure , More consistant when changing the lines  , not sure ,  , ,,,,,,,
12,4,4,4,4,4,4,3,3,4,4,4,4,4,4,2,4,4,4,3,2, The visual and interactive aspects of the system make things easier to understand than simply verbal instruction , ? , Occasionally I run into bugs, where if I took too many steps (or a different order) but my answer was correct. The system would reject my correct answer. Also the buttons were a little finicky , ? , I liked the program and its intention, but it felt slightly clunky and there were a few bugs. I like the program, it has a lot of potential, but could be smoothed out maybe. If you were to make more of them for visual topics. I could definitely see myself and other people using them. , ,,,
11,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5, How easy it is to pick up and understand how to use it. , N/A , There were a few parts where I got the question wrong, even though it was right. Went back and did the same thing and was then marked as correct. (specifically in the removing portions) , N/A , Loved it. Job well done! , ,,,,,,
8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,  ,4, Helps to see how linked lists work. , N/A , N/A , N/A , This was an interesting project to work on and test. , ,,,,,,,
7,4,4,4,4,4,4,4,4,4,4,4,4,4,  ,4,4,4,4,4,4, Diagram , team work , working on glitches , fixing chat bugs ,  , ,,,,,,,
6,4,3,4,3,4,4,4,  ,5,2,2,5,5,2,3,4,4,4,4,3, Visual presentation of the linked list. Nice being able to drag them around. , n/a , Make the hints actually useful. Some questions such as sort 1 and 2 can be solved using two temporary variables, but if you do it that way you still get it wrong and it isn't obvious why. Some questions don't match up with the nodes on the screen.  ,  , Good stuff. Just needs some polish. , ,,,,,,
4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5, It really helps to visualize what the linked list data structure is , N/A , being able to add more variables, while easy to do with the allotted ones, if you misclick, you need to restart , N/A , I understand what everything in this project does, I feel pointer could be better implemented as in \ connect this to this\ sometimes it's frustrating when you delete half the project by accident , ,,,
,4,3.698113208,4.094339623,3.923076923,4.075471698,3.716981132,3.641509434,3.653846154,4,3.905660377,3.924528302,3.865384615,3.735849057,3.615384615,3.339622642,3.41509434,3.471698113,3.471698113,3.269230769,3.150943396,,,,,,,,,,,,,
,3.301886792,3.20754717,3.384615385,3.150943396,3.41509434,3.226415094,3.153846154,3.245283019,3.339622642,3.547169811,,,,,,,,,,,,,,,,,,,,,,,
